nomor_ruas,nama_ruas_raw,name_variants_count,segments,panjang_m,baik_m,sedang_m,rusak_ringan_m,rusak_berat_m,mantap_m,tidak_mantap_m,baik_pct,sedang_pct,rusak_ringan_pct,rusak_berat_pct,tidak_mantap_pct,surface_code_mode,surface_label_mode,lebar_m_mode,tahun_survei_mode,name_variants
001,Jl. Pangeran Antasari - Loklua,1,6,560.0,0,360.0,200.0,0,360.0,200.0,0.0,64.285714,35.714286,0.0,35.714286,A,Aspal,12.0,2025,Jl. Pangeran Antasari - Loklua
002,Jl. Soeprapto - Jl. H.M Rusli,1,6,520.0,0,520.0,0,0,520.0,0,0.0,100.0,0.0,0.0,0.0,A,Aspal,6.0,2025,Jl. Soeprapto - Jl. H.M Rusli
003,Jl. Pasar Kandangan - Oprit Jembt. Loklua,1,3,280.0,280.0,0,0,0,280.0,0,100.0,0.0,0.0,0.0,0.0,B,Beton,6.0,2025,Jl. Pasar Kandangan - Oprit Jembt. Loklua
004,Jl. Soetoyo - Teluk Mesjid,1,3,260.0,260.0,0,0,0,260.0,0,100.0,0.0,0.0,0.0,0.0,A,Aspal,5.0,2025,Jl. Soetoyo - Teluk Mesjid
005,Jl. Teluk Mesjid - Sp. 4 Muara Banta,1,15,1430.0,0,1230.0,200.0,0,1230.0,200.0,0.0,86.013986,13.986014,0.0,13.986014,A,Aspal,5.0,2025,Jl. Teluk Mesjid - Sp. 4 Muara Banta
006,Jl. Merah Johansyah - Jl. Melati,1,9,820.0,820.0,0,0,0,820.0,0,100.0,0.0,0.0,0.0,0.0,A,Aspal,6.0,2025,Jl. Merah Johansyah - Jl. Melati
007,Jl. Menuju Stadion 2 Desember,1,3,290.0,0,290.0,0,0,290.0,0,0.0,100.0,0.0,0.0,0.0,A,Aspal,12.0,2025,Jl. Menuju Stadion 2 Desember
008,Jl. Aluh Idut,1,14,1340.0,500.0,840.0,0,0,1340.0,0,37.313433,62.686567,0.0,0.0,0.0,A,Aspal,5.0,2025,Jl. Aluh Idut
009,Jl. Panglima Batur,1,11,1090.0,800.0,290.0,0,0,1090.0,0,73.394495,26.605505,0.0,0.0,0.0,A,Aspal,5.0,2025,Jl. Panglima Batur
010,Jl. Nusa Indah,1,4,380.0,200.0,180.0,0,0,380.0,0,52.631579,47.368421,0.0,0.0,0.0,A,Aspal,5.0,2025,Jl. Nusa Indah
011,Jl. Anggrek,1,3,230.0,230.0,0,0,0,230.0,0,100.0,0.0,0.0,0.0,0.0,A,Aspal,3.0,2025,Jl. Anggrek
012,Jl. Kenanga,1,3,230.0,230.0,0,0,0,230.0,0,100.0,0.0,0.0,0.0,0.0,A,Aspal,3.0,2025,Jl. Kenanga
013,Jl. Mawar (Kandangan Utara),1,3,230.0,0,230.0,0,0,230.0,0,0.0,100.0,0.0,0.0,0.0,A,Aspal,7.0,2025,Jl. Mawar (Kandangan Utara)
014,Jl. Kamboja,1,3,210.0,0,210.0,0,0,210.0,0,0.0,100.0,0.0,0.0,0.0,A,Aspal,4.0,2025,Jl. Kamboja
015,Jl. Dahlia,1,2,180.0,0,0,100.0,80.0,0,180.0,0.0,0.0,55.555556,44.444444,100.0,A,Aspal,3.0,2025,Jl. Dahlia
016,Jl. KS. Tubun,1,10,960.0,160.0,300.0,500.0,0,460.0,500.0,16.666667,31.25,52.083333,0.0,52.083333,A,Aspal,3.0,2025,Jl. KS. Tubun
017,Jl. Pemuda,1,3,260.0,260.0,0,0,0,260.0,0,100.0,0.0,0.0,0.0,0.0,A,Aspal,6.0,2025,Jl. Pemuda
018,Jl. Parindra,1,3,280.0,180.0,100.0,0,0,280.0,0,64.285714,35.714286,0.0,0.0,0.0,A,Aspal,6.0,2025,Jl. Parindra
019,Jl. Wahab Syahrani,1,2,120.0,0,120.0,0,0,120.0,0,0.0,100.0,0.0,0.0,0.0,A,Aspal,6.0,2025,Jl. Wahab Syahrani
020,Jl. Musyawarah (Kandangan),1,4,320.0,100.0,220.0,0,0,320.0,0,31.25,68.75,0.0,0.0,0.0,A,Aspal,6.0,2025,Jl. Musyawarah (Kandangan)
021,Jl. Sekolah Islam (Kandangan Barat),1,2,200.0,200.0,0,0,0,200.0,0,100.0,0.0,0.0,0.0,0.0,A,Aspal,6.0,2025,Jl. Sekolah Islam (Kandangan Barat)
022,Jl. Rahmah Bahran,1,3,220.0,0,220.0,0,0,220.0,0,0.0,100.0,0.0,0.0,0.0,A,Aspal,4.0,2025,Jl. Rahmah Bahran
023,Jl. Brigjen Katamso,1,4,350.0,0,350.0,0,0,350.0,0,0.0,100.0,0.0,0.0,0.0,A,Aspal,3.5,2025,Jl. Brigjen Katamso
024,Jl. Kolonel Sugiono,1,3,220.0,220.0,0,0,0,220.0,0,100.0,0.0,0.0,0.0,0.0,A,Aspal,3.0,2025,Jl. Kolonel Sugiono
025,Singakarsa - Palas,1,54,5320.0,1100.0,1700.0,1320.0,1200.0,2800.0,2520.0,20.676692,31.954887,24.81203,22.556391,47.368421,A,Aspal,4.0,2025,Singakarsa - Palas
026,Singakarsa - Getek,1,2,200.0,0,200.0,0,0,200.0,0,0.0,100.0,0.0,0.0,0.0,A,Aspal,4.0,2025,Singakarsa - Getek
027,Parincahan - Singakarsa (Jl. Harapan),1,7,660.0,0,660.0,0,0,660.0,0,0.0,100.0,0.0,0.0,0.0,A,Aspal,3.5,2025,Parincahan - Singakarsa (Jl. Harapan)
028,Budi Bakti - Tiga Desember,1,9,810.0,0,810.0,0,0,810.0,0,0.0,100.0,0.0,0.0,0.0,A,Aspal,5.0,2025,Budi Bakti - Tiga Desember
029,Jl. Jafri Zamzam,1,11,1070.0,0,670.0,200.0,200.0,670.0,400.0,0.0,62.616822,18.691589,18.691589,37.383178,A,Aspal,3.0,2025,Jl. Jafri Zamzam
030,Sungai Damang - Amawang Kiri,1,26,2510.0,600.0,1710.0,200.0,0,2310.0,200.0,23.904382,68.12749,7.968127,0.0,7.968127,A,Aspal,3.5,2025,Sungai Damang - Amawang Kiri
031,Amawang Muka - Getek,1,55,5410.0,4500.0,410.0,500.0,0,4910.0,500.0,83.179298,7.578558,9.242144,0.0,9.242144,A,Aspal,3.5,2025,Amawang Muka - Getek
032,Amawang Kanan - Wasah Hulu,1,32,3170.0,0,2470.0,700.0,0,2470.0,700.0,0.0,77.917981,22.082019,0.0,22.082019,A,Aspal,3.5,2025,Amawang Kanan - Wasah Hulu
033,Jl. DI. Panjaitan - Loklua,1,5,410.0,0,410.0,0,0,410.0,0,0.0,100.0,0.0,0.0,0.0,A,Aspal,4.5,2025,Jl. DI. Panjaitan - Loklua
034,Jl. Jend. Sudirman,1,25,2440.0,0,2440.0,0,0,2440.0,0,0.0,100.0,0.0,0.0,0.0,A,Aspal,8.0,2025,Jl. Jend. Sudirman
035,Jl. AES Nasution,1,3,240.0,240.0,0,0,0,240.0,0,100.0,0.0,0.0,0.0,0.0,A,Aspal,3.5,2025,Jl. AES Nasution
036,Tembok Lama - Loklua,1,9,840.0,0,440.0,300.0,100.0,440.0,400.0,0.0,52.380952,35.714286,11.904762,47.619048,A,Aspal,3.0,2025,Tembok Lama - Loklua
037,Jl. Kesehatan - Komp. Rmh Dokter,1,3,280.0,280.0,0,0,0,280.0,0,100.0,0.0,0.0,0.0,0.0,A,Aspal,3.5,2025,Jl. Kesehatan - Komp. Rmh Dokter
038,Jl. Samping Bappeda - Mesjid Darul Halik,1,2,190.0,0,0,190.0,0,0,190.0,0.0,0.0,100.0,0.0,100.0,A,Aspal,3.5,2025,Jl. Samping Bappeda - Mesjid Darul Halik
039,Jl.  Bina Bakat,1,3,240.0,240.0,0,0,0,240.0,0,100.0,0.0,0.0,0.0,0.0,A,Aspal,3.0,2025,Jl.  Bina Bakat
040,Baluti - Jambu Hulu (Paku),1,41,4070.0,500.0,1800.0,1270.0,500.0,2300.0,1770.0,12.285012,44.226044,31.203931,12.285012,43.488943,A,Aspal,3.5,2025,Baluti - Jambu Hulu (Paku)
041,Sp. 3 Baluti - Amawang,1,16,1570.0,400.0,1070.0,100.0,0,1470.0,100.0,25.477707,68.152866,6.369427,0.0,6.369427,A,Aspal,3.0,2025,Sp. 3 Baluti - Amawang
042,Sei Kupang Utara - Simp. Empat Lungau,1,24,2360.0,1500.0,860.0,0,0,2360.0,0,63.559322,36.440678,0.0,0.0,0.0,A,Aspal,3.5,2025,Sei Kupang Utara - Simp. Empat Lungau
043,Sp. Empat Lungau - Bangkau,1,81,8100.0,0,2200.0,0,5900.0,2200.0,5900.0,0.0,27.160494,0.0,72.839506,72.839506,T,Tanah,3.0,2025,Sp. Empat Lungau - Bangkau
